Date,Series,Value
2020-11-27,Volume Intensity,0.0005
2020-11-28,Volume Intensity,0.0008
2020-11-29,Volume Intensity,0
2020-11-30,Volume Intensity,0.0007
2020-12-01,Volume Intensity,0.0004
2020-12-02,Volume Intensity,0.0013
2020-12-03,Volume Intensity,0.0009
2020-12-04,Volume Intensity,0.0007
2020-12-05,Volume Intensity,0.0019
2020-12-06,Volume Intensity,0
2020-12-07,Volume Intensity,0
2020-12-08,Volume Intensity,0.0014
2020-12-09,Volume Intensity,0.0018
2020-12-10,Volume Intensity,0.0024
2020-12-11,Volume Intensity,0
2020-12-12,Volume Intensity,0
2020-12-13,Volume Intensity,0
2020-12-14,Volume Intensity,0.0003
2020-12-15,Volume Intensity,0.0005
2020-12-16,Volume Intensity,0.0007
2020-12-17,Volume Intensity,0.0005
2020-12-18,Volume Intensity,0.0002
2020-12-19,Volume Intensity,0.0015
2020-12-20,Volume Intensity,0.0021
2020-12-21,Volume Intensity,0.0005
2020-12-22,Volume Intensity,0.0005
2020-12-23,Volume Intensity,0.0008
2020-12-24,Volume Intensity,0.0012
2020-12-25,Volume Intensity,0.0017
2020-12-26,Volume Intensity,0
2020-12-27,Volume Intensity,0.0014
2020-12-28,Volume Intensity,0.0029
2020-12-29,Volume Intensity,0.0019
2020-12-30,Volume Intensity,0.0005
2020-12-31,Volume Intensity,0.0006
2021-01-01,Volume Intensity,0.0009
2021-01-02,Volume Intensity,0.0005
2021-01-03,Volume Intensity,0.0005
2021-01-04,Volume Intensity,0.0011
2021-01-05,Volume Intensity,0.0255
2021-01-06,Volume Intensity,0.0108
2021-01-07,Volume Intensity,0.0015
2021-01-08,Volume Intensity,0.0005
2021-01-09,Volume Intensity,0
2021-01-10,Volume Intensity,0.0009
2021-01-11,Volume Intensity,0.001
2021-01-12,Volume Intensity,0.0005
2021-01-13,Volume Intensity,0.0009
2021-01-14,Volume Intensity,0.0005
2021-01-15,Volume Intensity,0.0005
2021-01-16,Volume Intensity,0.0004
2021-01-17,Volume Intensity,0.0008
2021-01-18,Volume Intensity,0.0008
2021-01-19,Volume Intensity,0.0005
2021-01-20,Volume Intensity,0.0007
2021-01-21,Volume Intensity,0.0002
2021-01-22,Volume Intensity,0.0005
2021-01-23,Volume Intensity,0
2021-01-24,Volume Intensity,0.0013
2021-01-25,Volume Intensity,0.0005
2021-01-26,Volume Intensity,0.0005
2021-01-27,Volume Intensity,0.0009
2021-01-28,Volume Intensity,0
2021-01-29,Volume Intensity,0.001
2021-01-30,Volume Intensity,0
2021-01-31,Volume Intensity,0.0008
2021-02-01,Volume Intensity,0.0015
2021-02-02,Volume Intensity,0
2021-02-03,Volume Intensity,0.0007
2021-02-04,Volume Intensity,0
2021-02-05,Volume Intensity,0.0002
2021-02-06,Volume Intensity,0.0054
2021-02-07,Volume Intensity,0
2021-02-08,Volume Intensity,0
2021-02-09,Volume Intensity,0
2021-02-10,Volume Intensity,0.0002
2021-02-11,Volume Intensity,0.0002
2021-02-12,Volume Intensity,0
2021-02-13,Volume Intensity,0
2021-02-14,Volume Intensity,0
2021-02-15,Volume Intensity,0.0003
2021-02-16,Volume Intensity,0.0003
2021-02-17,Volume Intensity,0
2021-02-18,Volume Intensity,0.0002
2021-02-19,Volume Intensity,0
2021-02-20,Volume Intensity,0
2021-02-21,Volume Intensity,0
2021-02-22,Volume Intensity,0
2021-02-23,Volume Intensity,0
2021-02-24,Volume Intensity,0.0002
2021-02-25,Volume Intensity,0.0005
2021-02-26,Volume Intensity,0
2021-02-27,Volume Intensity,0
2021-02-28,Volume Intensity,0
2021-03-01,Volume Intensity,0.0008
2021-03-02,Volume Intensity,0.0002
2021-03-03,Volume Intensity,0.0002
2021-03-04,Volume Intensity,0.0005
2021-03-05,Volume Intensity,0.0005
2021-03-06,Volume Intensity,0.0023
2021-03-07,Volume Intensity,0
2021-03-08,Volume Intensity,0
2021-03-09,Volume Intensity,0.0002
2021-03-10,Volume Intensity,0.0009
2021-03-11,Volume Intensity,0.0012
2021-03-12,Volume Intensity,0.0005
2021-03-13,Volume Intensity,0
2021-03-14,Volume Intensity,0.0009
2021-03-15,Volume Intensity,0.0005
2021-03-16,Volume Intensity,0.0002
2021-03-17,Volume Intensity,0
2021-03-18,Volume Intensity,0.0002
2021-03-19,Volume Intensity,0.0005
2021-03-20,Volume Intensity,0
2021-03-21,Volume Intensity,0
2021-03-22,Volume Intensity,0.001
2021-03-23,Volume Intensity,0.0007
2021-03-24,Volume Intensity,0.0002
2021-03-25,Volume Intensity,0.0002
2021-03-26,Volume Intensity,0
2021-03-27,Volume Intensity,0
2021-03-28,Volume Intensity,0.0031
2021-03-29,Volume Intensity,0.0005
2021-03-30,Volume Intensity,0
2021-03-31,Volume Intensity,0
2021-04-01,Volume Intensity,0
2021-04-02,Volume Intensity,0
2021-04-03,Volume Intensity,0.0004
2021-04-04,Volume Intensity,0
2021-04-05,Volume Intensity,0
2021-04-06,Volume Intensity,0.0045
2021-04-07,Volume Intensity,0
2021-04-08,Volume Intensity,0.0002
2021-04-09,Volume Intensity,0
2021-04-10,Volume Intensity,0
2021-04-11,Volume Intensity,0.0009
2021-04-12,Volume Intensity,0.0108
2021-04-13,Volume Intensity,0.0022
2021-04-14,Volume Intensity,0.0007
2021-04-15,Volume Intensity,0.0044
2021-04-16,Volume Intensity,0.0043
2021-04-17,Volume Intensity,0.0062
2021-04-18,Volume Intensity,0.0004
2021-04-19,Volume Intensity,0.0003
2021-04-20,Volume Intensity,0.0002
2021-04-21,Volume Intensity,0
2021-04-22,Volume Intensity,0
2021-04-23,Volume Intensity,0.0003
2021-04-24,Volume Intensity,0
2021-04-25,Volume Intensity,0
2021-04-26,Volume Intensity,0.0003
2021-04-27,Volume Intensity,0.0002
2021-04-28,Volume Intensity,0
2021-04-29,Volume Intensity,0
2021-04-30,Volume Intensity,0.0003
2021-05-01,Volume Intensity,0.0004
2021-05-02,Volume Intensity,0.0005
2021-05-03,Volume Intensity,0.0003
2021-05-04,Volume Intensity,0
2021-05-05,Volume Intensity,0.0015
2021-05-06,Volume Intensity,0.0003
2021-05-07,Volume Intensity,0
2021-05-08,Volume Intensity,0
2021-05-09,Volume Intensity,0.0004
2021-05-10,Volume Intensity,0
2021-05-11,Volume Intensity,0.0002
2021-05-12,Volume Intensity,0.0059
2021-05-13,Volume Intensity,0
2021-05-14,Volume Intensity,0.0003
2021-05-15,Volume Intensity,0.0004
2021-05-16,Volume Intensity,0
2021-05-17,Volume Intensity,0
2021-05-18,Volume Intensity,0.0002
2021-05-19,Volume Intensity,0.0005
2021-05-20,Volume Intensity,0
2021-05-21,Volume Intensity,0.0003
2021-05-22,Volume Intensity,0
2021-05-23,Volume Intensity,0
2021-05-24,Volume Intensity,0
2021-05-25,Volume Intensity,0.0003
2021-05-26,Volume Intensity,0.0008
2021-05-27,Volume Intensity,0.0002
2021-05-28,Volume Intensity,0
2021-05-29,Volume Intensity,0
2021-05-30,Volume Intensity,0
2021-05-31,Volume Intensity,0
2021-06-01,Volume Intensity,0
2021-06-02,Volume Intensity,0
2021-06-03,Volume Intensity,0.0008
2021-06-04,Volume Intensity,0.0011
2021-06-05,Volume Intensity,0.0026
2021-06-06,Volume Intensity,0
2021-06-07,Volume Intensity,0.0017
2021-06-08,Volume Intensity,0.001
2021-06-09,Volume Intensity,0
2021-06-10,Volume Intensity,0
2021-06-11,Volume Intensity,0
2021-06-12,Volume Intensity,0.0004
2021-06-13,Volume Intensity,0
2021-06-14,Volume Intensity,0
2021-06-15,Volume Intensity,0.001
2021-06-16,Volume Intensity,0
2021-06-17,Volume Intensity,0.0005
2021-06-18,Volume Intensity,0
2021-06-19,Volume Intensity,0
2021-06-20,Volume Intensity,0
2021-06-21,Volume Intensity,0.0003
