Combination,Columns,Combination length,Number of features,R2 train,R2 test
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,4,0.8420860262520926,0.7797182430694231
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,7,0.766745765865718,0.7785492225905696
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,6,0.8362631745995204,0.7782653608783602
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.6724057553193254,0.7782169081573034
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,5,0.8556636026527088,0.7759852485482786
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",2,5,0.8351270389313339,0.7740152010698045
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.8244787680711532,0.7699863042801763
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",2,4,0.8241771473049897,0.769059523326593
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.8519935657823592,0.7667014382690254
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.6630690837478194,0.7666623639633956
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20']",2,4,0.8335932875944589,0.758322532410577
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.8339493845697866,0.7577446166088694
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,5,0.8415734168002087,0.7547962975112634
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,6,0.8413504735245328,0.7546071037818332
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.7413602773497776,0.7498775226871657
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.6179245220213533,0.7495480561595025
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,6,0.7284964729100916,0.7441067345842594
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,4,0.8118646094653493,0.7436473503046424
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,4,0.8308549876290547,0.7327753007810558
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",2,4,0.6064344845138592,0.730642787504657
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__coronavirus__lag_30']",2,3,0.8082222301084753,0.7305740316861127
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.7446621476156154,0.7282954151973712
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.7441400743307574,0.7241163244759068
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.7526652814777081,0.7200555174927534
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__confinamiento__lag_30']",2,4,0.8083142051437239,0.7127467527565827
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10']",2,4,0.8201626266428541,0.7107690673265262
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,5,0.8196753034903919,0.7106794003378525
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14']",2,3,0.8056756249002954,0.70955428083512
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,5,0.6949784716396645,0.6996805221526026
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.7149960050676257,0.6788614637280308
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,4,0.7154957996404485,0.6720857003451449
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.6283798276814101,0.6704524909319427
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.720270130064792,0.6625384753947801
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,4,0.5908919133960552,0.660842749079479
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,5,0.5917893425127919,0.6515938122142234
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.6863362084200489,0.634213133370249
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,4,0.7098209644849682,0.6243851355555563
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.7521986958727436,0.6213139785289137
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,6,0.5182174795963104,0.6173629764819034
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.7187925986468171,0.6161322629870707
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,6,0.7647001807682101,0.6154405414775358
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,4,0.5724347090613197,0.6087247729407774
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",2,4,0.7497273123619568,0.6071740199533326
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,5,0.5154644378885771,0.6028747102501278
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,5,0.756541983720076,0.5965557869979823
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,5,0.4371293589313511,0.5948620662589512
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,5,0.48528293883657414,0.5946804327664363
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,4,0.5753658143265628,0.5844666732939656
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,3,0.5691532736539853,0.584100953933425
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",2,4,0.4257399522062124,0.5746932702400678
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,4,0.6576762705020125,0.5735377896265212
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",2,4,0.37400126088538654,0.5721344972989754
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",2,5,0.658790184989145,0.5720137455303783
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,4,0.4808987824451292,0.5713364121978481
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,4,0.5448854931255924,0.5676834944729754
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,5,0.4786232466930136,0.5659295180381356
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,3,0.5112579643648796,0.5594458712892172
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,4,0.5099334721591546,0.5594117030463654
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,4,0.5956211970929972,0.5509216032199258
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,4,0.6439659037329661,0.5493663244593766
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,5,0.49303544063446103,0.5425968116423576
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",2,3,0.35992272010200543,0.5425525630087582
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,4,0.4035492478943704,0.5343194750924223
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__entubado__lag_20']",2,3,0.5781214925310424,0.5321119969907644
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",2,4,0.4360679797374877,0.5246819343452453
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20']",2,4,0.46622905223731004,0.5181903135104435
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__entubado__lag_20']",2,3,0.38525382689548615,0.49141840531225534
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__confinamiento__lag_30']",2,3,0.4843527864872049,0.48966118415944226
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,4,0.44895956938470427,0.4838830501868351
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,5,0.713752271279128,0.4792376897716075
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",2,4,0.6907959833145099,0.4774289972717557
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,4,0.46829155745070516,0.4731886089777597
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",2,3,0.6905505346592582,0.4704291616339352
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,4,0.37707271580472035,0.4679540989906208
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__coronavirus__lag_30']",2,3,0.3215430291243171,0.466021307063303
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",2,4,0.7068267735681661,0.4636365872909547
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,3,0.3756483569913578,0.4510671992639568
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10']",2,3,0.4183606358609788,0.4495886774392933
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__confinamiento__lag_30']",2,3,0.6153594607588889,0.4495265827412336
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30']",2,4,0.6351615407958826,0.44211863679882835
