Combination,Columns,Feature,Coefficient,p-value
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,3.3288494341322177,0.8900321524021533
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,4.80715706629881e-69
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,455.4824064817875,1.2611753411411715e-28
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,223.1824606257142,7.0713557856865024e-09
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,34.19160172962083,0.3566258554243664
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",const,757.8147454303225,1.1394949826698649e-120
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",casos__ratio_population__num_casos__lag_10,612.594902367112,1.5740408815895305e-78
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__toque de queda__lag_5,195.8487245926362,1.8961280716306943e-14
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10']",googletrends__confinamiento__lag_10,85.33138111651498,0.0002576211941137488
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",const,757.8147454303225,3.161364048267432e-120
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,633.2949460132562,4.5469755072276e-85
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,225.77264192568515,9.5557279515628e-18
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,72.74955010279643,0.0010613980834992096
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,5.334321737875552e-111
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,697.2363813911101,2.0867728536889015e-92
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,109.23934465462747,2.6940926558644533e-05
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,3.3288494341322177,0.8900321524021533
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,4.80715706629881e-69
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,455.4824064817875,1.2611753411411715e-28
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,223.1824606257142,7.0713557856865024e-09
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,34.19160172962083,0.3566258554243664
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,2.9778402545502084e-121
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,614.5833978931419,2.624588156447409e-79
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,211.22721881970702,1.3541595111450091e-15
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,68.56889523123465,0.004663610965789579
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,53.27801358097231,0.020437933205555873
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",const,757.8147454303225,2.9778402545502084e-121
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",casos__ratio_population__num_casos__lag_10,614.5833978931419,2.624588156447409e-79
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__toque de queda__lag_5,211.22721881970702,1.3541595111450091e-15
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__confinamiento__lag_10,68.56889523123465,0.004663610965789579
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5', 'googletrends__confinamiento__lag_10', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,53.27801358097231,0.020437933205555873
